Mothur_Name,Read_Number,Concentration,Cruise,Sed_or_Mus_or_Wat,Type,Depth_in_Meters,Lake,Month_Collected,Mussel Classification ,Mass_of_Mussel,Mussel_Density,Sediment_Type,,,,,,,,,,
MLBB2_S815_S122,7971,16.39,Transect,Sediment,Sediment,10,Muskegon,August,,,,black mud,,,,,,,,,,
MLBB2_S915_S84,9194,21.88,Transect,Sediment,Sediment,10,Muskegon,September,,,,black mud,,,,,,,,,,
MOTB1_515_S71,8438,2.86,Muskegon,Sediment,Sediment,11,Muskegon,May,,,,,,,,,,,,,,
MOTB1_715_S94,7103,2.67,Muskegon,Sediment,Sediment,11,Muskegon,July,,,,,,,,,,,,,,
MOTB1_S915_S93,7682,2.59,Muskegon,Sediment,Sediment,11,Muskegon,September,,,,,,,,,,,,,,
MOTB2_515_S83,7722,3.38,Muskegon,Sediment,Sediment,11,Muskegon,May,,,,,,,,,,,,,,
MOTB2_715_S11,7095,3.27,Muskegon,Sediment,Sediment,11,Muskegon,July,,,,,,,,,,,,,,
MOTB2_S915_S10,7617,2.31,Muskegon,Sediment,Sediment,11,Muskegon,September,,,,,,,,,,,,,,
Q05_L1_S_S231,11012,4.79,Transect,Mussel,Mussel Shell,45,Michigan,July,Large,0.8,Few-Moderate,soft silt,,,,,,,,,,
Q05_L1_T_S243,2276,22.75,Transect,Mussel,Mussel Tissue,45,Michigan,July,Large,0.5,Few-Moderate,soft silt,,,,,,,,,,
Q05_L2_S_S255,12178,5.4,Transect,Mussel,Mussel Shell,45,Michigan,July,Large,0.7,Few-Moderate,soft silt,,,,,,,,,,
Q05_L2_T_S267,209.1,56.98,Transect,Mussel,Mussel Tissue,45,Michigan,July,Medium,0.3,Few-Moderate,soft silt,,,,,,,,,,
Q05_M1_S_S278,5872,1.56,Transect,Mussel,Mussel Shell,45,Michigan,July,Large,0.6,Few-Moderate,soft silt,,,,,,,,,,
Q05_M1_T_S195,1005,7.06,Transect,Mussel,Mussel Tissue,45,Michigan,July,Medium,0.3,Few-Moderate,soft silt,,,,,,,,,,
Q05_M2_S_S207,2204,1.03,Transect,Mussel,Mussel Shell,45,Michigan,July,Medium,0.3,Few-Moderate,soft silt,,,,,,,,,,
Q05_M2_T_S219,6628,0.76,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.2,Few-Moderate,soft silt,,,,,,,,,,
Q05_S1_S_S230,7408,1.24,Transect,Mussel,Mussel Shell,45,Michigan,July,Small,0.2,Few-Moderate,soft silt,,,,,,,,,,
Q05_S1_S2_S221,233.3,3.11,Transect,Mussel,Mussel Shell,45,Michigan,July,Small,0.1,Few,silt over sandy silt,,,,,,,,,,
Q05_S1_T_S242,1826,4.77,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Few-Moderate,soft silt,,,,,,,,,,
Q05_S1_T2_S209,651.5,26.62,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Few,silt over sandy silt,,,,,,,,,,
Q05_S2_S_S254,6934,0.9,Transect,Mussel,Mussel Shell,45,Michigan,July,Small,0.1,Few-Moderate,soft silt,,,,,,,,,,
Q05_S2_S2_S197,1207,3.72,Transect,Mussel,Mussel Shell,45,Michigan,July,Small,0.1,Few,silt over sandy silt,,,,,,,,,,
Q05_S2_T_S266,64.35,2.25,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.1,Few-Moderate,soft silt,,,,,,,,,,
Q05_S2_T2_S280,11141,11.14,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,<0.1,Few,silt over sandy silt,,,,,,,,,,
Q08_L1_S_S279,3201,1.31,Transect,Mussel,Mussel Shell,45,Michigan,July,Medium,0.4,Few,silt over sandy silt,,,,,,,,,,
Q08_L1_T_S196,6459,3.73,Transect,Mussel,Mussel Tissue,45,Michigan,July,Small,0.2,Few,silt over sandy silt,,,,,,,,,,
